0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:42:10 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:42:11 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:42:11 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:42:11 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:42:41 +0100] "GET /HelloMVC/habitacion HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:42:47 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:53 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:54 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:54 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:54 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:54 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:55 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:55 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:55 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:55 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:43:55 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:44:13 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:44:13 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:44:18 +0100] "GET /HelloMVC/habitacion HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:47:21 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:47:21 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:47:22 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:47:22 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:47:22 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:47:22 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:48:56 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:50:22 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:50:24 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:50:24 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:50:32 +0100] "GET /HelloMVC/habitacion HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:54:22 +0100] "GET /HelloMVC/habitacion HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:54:47 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:54:49 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:54:52 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:18 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:20 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:20 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:21 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:21 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:21 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:21 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:22 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:22 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:56:22 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:05 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:05 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:06 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:11 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:14 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:14 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:15 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:15 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:15 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:01:16 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:03:46 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:03:50 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:03:51 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:03:55 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:03:56 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:03:56 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:07:55 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:08:00 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:08:03 +0100] "GET /HelloMVC/habitacion HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:08:46 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:08:57 +0100] "GET /HelloMVC/usuario.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:15:18 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:15:21 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:15:23 +0100] "GET /HelloMVC/habitacion HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [12/Nov/2018:15:15:39 +0100] "GET /HelloMVC/habitacion.jsp HTTP/1.1" 200 283
